RuleID,MSOfficeCategory,WCAGCriteria,Severity,AppliesTo,Description,Remediation
FakeListBullet,List not used correctly,1.3.1,Warning,"DOCX, PPTX, MD",A paragraph uses a manually typed bullet character instead of the application's built-in list style.,"Apply the List Bullet built-in style (Word), a bullet list from the Home tab (PowerPoint), or - / * syntax (Markdown)."
FakeNumberedList,List not used correctly,1.3.1,Warning,MD,Lines appear to be a manually numbered list outside proper Markdown ordered list syntax.,Use Markdown ordered list syntax: start each item with '1.' followed by a space.
FastAutoAdvance,Timing,2.2.1,Error,PPTX,"A slide auto-advances in less than 3 seconds, which may not give screen reader users enough time to hear the content.","Increase the auto-advance time to at least 5 seconds, or disable auto-advance. Go to Transitions > Advance Slide > After."
FastTransitionSpeed,Motion,2.3.3,Warning,PPTX,A slide uses Fast transition speed. Rapid visual motion can trigger symptoms in users with vestibular disorders.,Set the transition speed to Medium or Slow in the Transitions tab Duration field.
FloatingTextBox,Object not inline,1.3.2,Warning,DOCX,"A floating text box is read by screen readers in insertion order, which may differ from visual reading order.",Convert to inline body text if possible. Otherwise verify reading order in the Selection Pane.
HeaderRowNotFrozen,Navigation,1.3.1,Warning,XLSX,"A large worksheet has no frozen panes. The header row scrolls out of view, removing column context for screen reader users.","Click cell A2, go to View > Freeze Panes > Freeze Panes."
HeadingEndsWithPunctuation,Object has no title or name,1.3.1,Warning,MD,"A heading ends with a period, semicolon, or colon, causing TTS to insert an unnatural pause.",Remove the trailing punctuation from the heading.
HeadingTooLong,Object has no title or name,2.4.6,Warning,MD,"A heading is over 120 characters, which is difficult to scan in a screen reader heading list.",Shorten the heading to under 80 characters. Move additional content into the paragraph below.
HiddenColumns,Object not inline,1.3.2,Warning,XLSX,Hidden columns disrupt the continuous data sequence and may be skipped by screen readers.,Unhide columns. Consider moving the data to a separate sheet or documenting hidden columns with a visible note.
HiddenRows,Object not inline,1.3.2,Warning,XLSX,Hidden rows disrupt the continuous data sequence and may be skipped by screen readers.,Unhide rows. Consider using grouping (Data > Group) or filters instead.
HyperlinkNotUnderlined,Hyperlink,1.4.1,Warning,DOCX,"A hyperlink is not underlined, making it indistinguishable from body text for users with color vision deficiencies.",Ensure the Hyperlink character style includes underlining: Home > Styles > right-click Hyperlink > Modify.
IndentedCodeBlock,Code,1.3.3,Warning,MD,An indented code block (4-space indent) cannot carry a language specifier.,Convert to a fenced code block using ``` with a language identifier.
LongSectionWithoutHeading,Heading issues,2.4.6,Warning,"DOCX, MD",More than 20 paragraphs appear without any heading. Screen reader users rely on headings to navigate.,Add appropriately leveled headings to mark major sections.
MergedCells,Merged cells,1.3.1,Warning,XLSX,Merged cells disrupt screen reader table navigation and break sort and filter operations.,Remove merged cells: Home > Merge & Center > Unmerge Cells. Use Center Across Selection for visual centering.
MissingAltText,Missing alternative text,1.1.1,Error,"DOCX, XLSX, PPTX, MD","An image, shape, chart, or other non-text object has no alternative text.","Right-click the object, choose Edit Alt Text, and write a concise description. If purely decorative, mark as decorative."
MissingAuthor,Missing document properties,2.4.2,Warning,"DOCX, XLSX, PPTX, MD",The document Author property is not set.,"Go to File > Info > Properties and enter the author name. In Markdown, add author: to the YAML front matter."
MissingDescription,Missing document properties,2.4.2,Warning,MD,No description field is present in the Pandoc YAML front matter.,Add description: with a one-to-two sentence summary to the YAML front matter.
MissingDocumentLanguage,Missing document language,3.1.1,Error,DOCX,The document's proofing language is not set. Screen readers use this to select the correct TTS voice.,Go to Review > Language > Set Proofing Language and select the appropriate language.
MissingDocumentTitle,Missing document properties,2.4.2,Error,DOCX,The document Title property is not set. Screen readers announce the title when the document is opened.,Go to File > Info > Properties and enter a descriptive title in the Title field.
MissingLanguage,Missing document language,3.1.1,Error,MD,No lang field in the YAML front matter. Pandoc uses this to set the HTML lang attribute and PDF language metadata.,Add lang: en-US (or appropriate BCP 47 tag) to the YAML front matter.
MissingPresentationAuthor,Missing document properties,2.4.2,Warning,PPTX,The presentation Author property is not set.,Go to File > Info > Properties and enter the author name.
MissingPresentationTitle,Missing document properties,2.4.2,Error,PPTX,The presentation Title property is not set. Screen readers announce the title when the file is opened.,Go to File > Info > Properties and enter a descriptive title.
MissingTitle,Missing document properties,2.4.2,Error,MD,No title field in the YAML front matter. Screen readers announce the document title when it is opened.,"Add title: ""My Document Title"" to the YAML front matter."
MissingWorkbookAuthor,Missing document properties,2.4.2,Warning,XLSX,The workbook Author property is not set.,Go to File > Info > Properties and enter the author name.
MissingWorkbookTitle,Missing document properties,2.4.2,Error,XLSX,The workbook Title property is not set. Screen readers announce the title when the file is opened.,Go to File > Info > Properties and enter a descriptive title.
MovingContent,Motion,2.2.2,Error,MD,"A raw HTML marquee or blink element causes moving or blinking content, violating WCAG 2.2.2.",Remove the element entirely. Moving and blinking text has no accessible equivalent.
NoHeadings,Heading issues,2.4.6,Warning,MD,A document of substantial length has no headings. Screen reader users navigate long documents by heading list.,"Add ATX-style headings (# H1, ## H2) to mark major sections."
NoSpeakerNotes,Missing alternative text,1.1.1,Warning,PPTX,"No slides have speaker notes. For distributed presentations, notes provide essential context for screen reader users.",Add speaker notes via View > Notes. Describe visual content and anything conveyed only through visuals.
NoYamlFrontMatter,Missing document properties,2.4.2,Error,MD,"The Markdown file has no YAML front matter block. Without front matter, Pandoc cannot set document title, language, or author.",Add a YAML front matter block starting and ending with --- at the very top of the file. Include at minimum: title and lang.
NonDescriptiveHyperlinkText,Hyperlink,2.4.4,Error,"DOCX, XLSX",Hyperlink display text is non-descriptive or a raw URL. Screen reader users navigating by link list cannot determine the destination.,Edit the hyperlink display text to describe the destination. The text should make sense when read in isolation.
NonDescriptiveLinkText,Hyperlink,2.4.4,Error,MD,"Markdown link text is non-descriptive (click here, here, read more, etc.).",Replace with text that describes the link destination.
RapidAutoAnimation,Motion,2.2.2,Warning,PPTX,"Multiple animations trigger automatically with very short delays, which can overwhelm screen reader users.","Increase delays to at least 1 second per element, or switch to On Click triggers."
RawBrTag,Repeated blank characters,1.3.2,Warning,MD,"A raw HTML br tag is used for a line break, reducing portability to non-HTML Pandoc output formats.",End the line with two trailing spaces or a backslash for a portable hard line break.
RawHtmlGenericContainer,Use of color alone,1.3.1,Warning,MD,A raw HTML div or span is silently ignored by Pandoc when converting to non-HTML formats.,Use Pandoc's native fenced div (::: {.class}) or bracketed span ([text]{.class}) syntax instead.
RawHtmlPresentational,Use of color alone,1.3.3,Warning,MD,"A raw HTML presentational element (font, center) conveys no semantics and is not supported in non-HTML Pandoc output formats.",Replace with Markdown formatting or a Pandoc-native span/div.
RawHtmlTable,Missing table header,1.3.1,Warning,MD,A raw HTML table is used. HTML tables require explicit th scope headers and a caption to be accessible.,"Use Pandoc pipe table syntax, or ensure the HTML table includes th scope headers and a caption."
RepeatedBlankCharacters,Repeated blank characters,1.3.2,Warning,DOCX,A paragraph contains consecutive spaces likely used for visual layout.,Remove repeated spaces. Use paragraph indentation or tab stops for layout instead.
RepeatingAnimation,Motion,2.2.2,Warning,PPTX,A repeating or looping animation violates WCAG 2.2.2 because the user cannot stop it without leaving the slide.,Set the animation repeat count to 1 in the Effect Options dialog.
SheetNameTooLong,Object has no title or name,2.4.6,Warning,XLSX,"A worksheet tab name exceeds 31 characters, which is Excel's maximum.","Right-click the tab, choose Rename, and shorten the name to 31 characters or fewer."
SkippedHeadingLevel,Heading issues,1.3.1,Error,"DOCX, PPTX, MD","The document skips one or more heading levels (e.g., H1 followed directly by H3).",Change the heading style to restore sequential order. Every level must appear before a deeper level is used.
SlideMissingTitle,Object has no title or name,1.3.1,Error,PPTX,A slide has no title or the title placeholder is empty. Screen readers announce slide titles as navigation landmarks.,"Click the title placeholder and enter a concise, descriptive title."
SmallFontSize,Sufficient contrast,1.4.3,Warning,PPTX,"Text on a slide is smaller than 18pt, which may be too small for users with low vision.",Increase font size to at least 18pt for body text and 24pt or larger for key content.
TableColumnCountMismatch,Complex table,1.3.1,Error,MD,A Pandoc pipe table row has a different number of cells than the header row.,Ensure every row has the same number of pipe-delimited cells as the header row.
TableMissingHeaderRow,Missing table header,1.3.1,Error,DOCX,A Word table does not have a designated header row.,"Click in the first row, go to Table Design > Table Style Options and check Header Row."
TableMissingHeaders,Missing table header,1.3.1,Error,XLSX,An Excel Table has its header row turned off.,"Click inside the table, go to Table Design, and check the Header Row checkbox."
TitleNotFirstInReadingOrder,Object not inline,1.3.2,Warning,PPTX,The title placeholder is not at the back of the z-order. PowerPoint screen readers traverse shapes from back to front.,Open the Selection Pane (Home > Arrange > Selection Pane) and drag the title placeholder to the bottom of the list.
UnlabeledFormField,Object has no title or name,1.3.1,Error,DOCX,A Word form field has no help text. Screen readers announce only the field type with no indication of what is requested.,Open the field's properties and enter a descriptive label in the Status Bar Help Text or Help Key field.
UrlAsLinkText,Hyperlink,2.4.4,Error,MD,A Markdown link uses a raw URL as its display text. Screen readers read the URL character by character.,Replace the URL display text with a description of the link destination.
VisualContentWithoutNotes,Missing alternative text,1.1.1,Error,PPTX,"A slide has images or charts without alt text and no speaker notes, making it entirely inaccessible.","Add alt text to each image and chart, and add speaker notes describing the key visual content."
